Transaction Hash,Status,Type,Method ,Block,Age,From,From_NameTag,To,To_NameTag,Amount,Value (USD),Asset,Txn Fee
0x875d0660854503224a291274be613227145f0b35da2114c9eb85cefa6b96ab24,Success,Internal Tx,Xf Lobby Flush,20438570,125 days ago,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX.com: HEX Token,0xdec9f2793e3c17cd26eefb21c4762fa5128e0399,Hex.win,0.023434,$90.16,Ethereum(ETH),3.879e-05
0xc24ea24e975e0761d6e1b9659ab8eed2596e339e92338a8d04a9ba286d4a8a26,Success,Internal Tx,Xf Lobby Flush,19791708,216 days ago,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX.com: HEX Token,0xdec9f2793e3c17cd26eefb21c4762fa5128e0399,Hex.win,0.0318,$122.34,Ethereum(ETH),0.0001556
0x541b1eb314061fae6cdfea7331be2fc18ced53f5f127b09ff855af07bce25403,Success,Internal Tx,Xf Lobby Flush,19455030,263 days ago,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX.com: HEX Token,0xdec9f2793e3c17cd26eefb21c4762fa5128e0399,Hex.win,5.186033,"$19,952.12",Ethereum(ETH),0.00100095
0x6808b13f08c67c898abf4a9060ca95de3f86ce732a6d71e6363612ebc2799474,Success,Internal Tx,Xf Lobby Flush,17879605,484 days ago,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX.com: HEX Token,0xdec9f2793e3c17cd26eefb21c4762fa5128e0399,Hex.win,0.082886,$318.89,Ethereum(ETH),0.00081785
0x6dcb67594d91beced76f7a42559fd00147df39dcd6327f85d8095d4bb411f7e4,Success,Internal Tx,Xf Lobby Flush,17752211,501 days ago,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX.com: HEX Token,0xdec9f2793e3c17cd26eefb21c4762fa5128e0399,Hex.win,0.007504,$28.87,Ethereum(ETH),0.00046139
0x7e917c43d81c6b4e4fbdb45190bb7eeaa6c39baa999c825dc435f0ef631b49bb,Success,Internal Tx,Xf Lobby Flush,17571725,527 days ago,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX.com: HEX Token,0xdec9f2793e3c17cd26eefb21c4762fa5128e0399,Hex.win,1.993636,"$7,670.08",Ethereum(ETH),0.00125142
0xd4c0a7eb7184538f2a9714a8c5b2761c13cbbb766de6ae7abee8e11f8dcb2d58,Success,Internal Tx,Xf Lobby Flush,17106228,592 days ago,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX.com: HEX Token,0xdec9f2793e3c17cd26eefb21c4762fa5128e0399,Hex.win,0.354166,"$1,362.58",Ethereum(ETH),0.00098395
0xd8110657a847a21e7604b3940fb7020b0b970d2a9dd11da459cc217d62bc7ddb,Success,Internal Tx,Xf Lobby Flush,16922495,618 days ago,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX.com: HEX Token,0xdec9f2793e3c17cd26eefb21c4762fa5128e0399,Hex.win,0.141757,$545.38,Ethereum(ETH),0.00070776
0xf7075988c69f5daca937052d2e386e5a03e07b8f938cd6f344f1e8a28f0208ef,Success,Internal Tx,Xf Lobby Flush,16607021,663 days ago,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX.com: HEX Token,0xdec9f2793e3c17cd26eefb21c4762fa5128e0399,Hex.win,0.753602,"$2,899.32",Ethereum(ETH),0.00074737
0x400149cf895ea29accc53de5437789ab1f81610e3b9cefb2fd18b83729908705,Success,Internal Tx,Xf Lobby Flush,16027884,744 days ago,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX.com: HEX Token,0xdec9f2793e3c17cd26eefb21c4762fa5128e0399,Hex.win,5.747634,"$22,112.76",Ethereum(ETH),0.00060213
0xffc84acfdc3240e8b6f70fa7c2d21ba523f0ffb3f3bfc6157b86fc975f9314cc,Success,Internal Tx,Xf Lobby Flush,14835974,926 days ago,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX.com: HEX Token,0xdec9f2793e3c17cd26eefb21c4762fa5128e0399,Hex.win,4.121572,"$15,856.84",Ethereum(ETH),0.00095672
0x31c9567e7c41c53d400ff6d7b67b2266657912aadec481813fb7a9ae1ee7a84a,Success,Internal Tx,Xf Lobby Flush,14205567,1025 days ago,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX.com: HEX Token,0xdec9f2793e3c17cd26eefb21c4762fa5128e0399,Hex.win,10.01449,"$38,528.54",Ethereum(ETH),0.00227957
0xab902b23a5ebad3b1b42c4bed86e63dd1b86fd4658e879c3d0d46a4aba986c64,Success,Internal Tx,Xf Lobby Flush,13408199,1149 days ago,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX.com: HEX Token,0xdec9f2793e3c17cd26eefb21c4762fa5128e0399,Hex.win,1.458596,"$5,611.63",Ethereum(ETH),0.00219959
0xe4a5a6374102e816bb6a7110ae9e6bda68c526613ef8fae7dcdf6f35c2c91b13,Success,Internal Tx,Xf Lobby Flush,13263700,1172 days ago,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX.com: HEX Token,0xdec9f2793e3c17cd26eefb21c4762fa5128e0399,Hex.win,0.018503,$71.19,Ethereum(ETH),0.00508366
0x187278fb68c75cab4509028c96b5e1ced8b5c258134c8e40c11bb75328bddafe,Success,Internal Tx,Xf Lobby Flush,13254601,1173 days ago,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX.com: HEX Token,0xdec9f2793e3c17cd26eefb21c4762fa5128e0399,Hex.win,13.143972,"$50,568.53",Ethereum(ETH),0.00122663
0xd1bcb12be560f7394f49eaa82e5c8ebb676451fe8b3651a5fd6405cf4484e1a4,Success,Internal Tx,Xf Lobby Flush,13031175,1208 days ago,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX.com: HEX Token,0xdec9f2793e3c17cd26eefb21c4762fa5128e0399,Hex.win,2.591982,"$9,972.08",Ethereum(ETH),0.00156314
0x3020b5269ec85e24580deae826711f81a8ac068d59b6acd1ee3b0d59c2cfcf1e,Success,Internal Tx,Xf Lobby Flush,12848700,1236 days ago,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX.com: HEX Token,0xdec9f2793e3c17cd26eefb21c4762fa5128e0399,Hex.win,11.163838,"$42,950.40",Ethereum(ETH),0.00043261
